paper_id,doi,publication_year,author_position,author_name,orcid,institutions,institution_countries,institution_rors
W4285238786,10.31560/pimentacultural/2022.794.81-101,2022,first,Ana Luzia Rebouças Gouveia Chagas,,,,
W4285238786,10.31560/pimentacultural/2022.794.81-101,2022,middle,Ana Karolina Martins Santos,,,,
W4285238786,10.31560/pimentacultural/2022.794.81-101,2022,middle,Gabrielle Figueiredo Bruno,0000-0002-7852-7625,,,
W4285238786,10.31560/pimentacultural/2022.794.81-101,2022,middle,Ana Paula Pereira Nabero,0000-0002-4607-0683,,,
W4285238786,10.31560/pimentacultural/2022.794.81-101,2022,last,Breno de Oliveira Ferreira,0000-0002-0979-3911,,,
W4285251064,10.31560/pimentacultural/2022.794.146-161,2022,first,Rosa Maria Rodrigues Marques,0000-0002-9812-8162,,,
W4285251064,10.31560/pimentacultural/2022.794.146-161,2022,middle,Denise Machado Duran Gutierrez,0000-0002-0031-3045,,,
W4285251064,10.31560/pimentacultural/2022.794.146-161,2022,last,Ewerton Helder Bentes de Castro,0000-0003-2227-5278,,,
W4285272241,10.31560/pimentacultural/2022.794.320-341,2022,first,Margareth da Silva Oliveira,0000-0002-6490-5170,,,
W4285272241,10.31560/pimentacultural/2022.794.320-341,2022,middle,Milton José Cazassa,0000-0002-1872-1063,,,
W4285272241,10.31560/pimentacultural/2022.794.320-341,2022,middle,Grant S. Shields,0000-0002-0827-4669,,,
W4285272241,10.31560/pimentacultural/2022.794.320-341,2022,last,George M. Slavich,0000-0001-5710-3818,,,
W4285297591,10.31560/pimentacultural/2022.794.278-296,2022,first,Cristiano de Almeida Fernandes,,,,
W4285297591,10.31560/pimentacultural/2022.794.278-296,2022,last,Najaira Silva de Souza,,,,
W4285301185,10.31560/pimentacultural/2022.794.126-144,2022,first,Leandro Passarinho Reis Júnior,0000-0001-9505-7808,,,
W4285301185,10.31560/pimentacultural/2022.794.126-144,2022,middle,Annacarolina Boulhosa Cunha Pinheiro,,,,
W4285301185,10.31560/pimentacultural/2022.794.126-144,2022,last,Eric Campos Alvarenga,0000-0002-1803-2356,,,
W4285387561,10.31234/osf.io/t3bzw,2022,first,Eline Van Geert,0000-0002-7848-5998,KU Leuven,BE,05f950310
W4285387561,10.31234/osf.io/t3bzw,2022,middle,Liesse Frérart,0000-0001-9158-6032,Individual Differences; KU Leuven,US; BE,05patbw61; 05f950310
W4285387561,10.31234/osf.io/t3bzw,2022,last,Johan Wagemans,0000-0002-7970-1541,KU Leuven,BE,05f950310
W4285387826,10.1080/14615517.2022.2099729,2022,first,Wei Li,0000-0003-1268-7447,Southeast University,CN,04ct4d772
W4285387826,10.1080/14615517.2022.2099729,2022,middle,Jingfeng Yuan,0000-0002-0922-6853,Southeast University,CN,04ct4d772
W4285387826,10.1080/14615517.2022.2099729,2022,middle,Jiyue Guo,,The University of Tokyo,JP,057zh3y96
W4285387826,10.1080/14615517.2022.2099729,2022,middle,Junxiao Liu,0000-0003-0765-3584,University of Canberra,AU,04s1nv328
W4285387826,10.1080/14615517.2022.2099729,2022,last,Yulun Pan,,Jiaxing University,CN,00j2a7k55
W4285494593,10.31219/osf.io/gxd73,2022,first,Omid Ghasemi,0000-0001-7511-5580,UNSW Sydney; Macquarie University,AU; AU,03r8z3t63; 01sf06y89
W4285494593,10.31219/osf.io/gxd73,2022,middle,Simon J. Handley,0000-0003-4404-7452,Macquarie University,AU,01sf06y89
W4285494593,10.31219/osf.io/gxd73,2022,last,Rachel Gloria Stephens,,The University of Adelaide,AU,00892tw58
W4285587297,10.1186/s41235-022-00417-2,2022,first,Chong Zhao,0000-0002-9655-6454,University of Chicago,US,024mw5h28
W4285587297,10.1186/s41235-022-00417-2,2022,middle,Keisuke Fukuda,0000-0003-2450-4345,University of Toronto,CA,03dbr7087
W4285587297,10.1186/s41235-022-00417-2,2022,middle,Sohee Park,0000-0003-3797-4776,Vanderbilt University,US,02vm5rt34
W4285587297,10.1186/s41235-022-00417-2,2022,last,Geoffrey F. Woodman,0000-0003-0946-9297,Vanderbilt University,US,02vm5rt34
W4285587877,10.31234/osf.io/zt26c,2022,first,Elisa Cooper,0000-0003-3259-4408,MRC Cognition and Brain Sciences Unit; University of Cambridge; Medical Research Council,GB; GB; GB,055bpw879; 013meh722; 03x94j517
W4285587877,10.31234/osf.io/zt26c,2022,middle,Roni Tibon,0000-0003-1252-6715,University of Nottingham; MRC Cognition and Brain Sciences Unit; University of Cambridge; Medical Research Council,GB; GB; GB; GB,01ee9ar58; 055bpw879; 013meh722; 03x94j517
W4285587877,10.31234/osf.io/zt26c,2022,middle,Andrea Greve,0000-0002-5818-838X,MRC Cognition and Brain Sciences Unit; University of Cambridge; Medical Research Council,GB; GB; GB,055bpw879; 013meh722; 03x94j517
W4285587877,10.31234/osf.io/zt26c,2022,last,Richard N. Henson,0000-0002-0712-2639,MRC Cognition and Brain Sciences Unit; University of Cambridge; Medical Research Council,GB; GB; GB,055bpw879; 013meh722; 03x94j517
W4285726357,10.1038/s41562-022-01410-x,2022,first,Courtney B. Hilton,0000-0001-9113-1222,Haskins Laboratories; Harvard University; Harvard University Press,US; US; US,003j5cv40; 03vek6s52; 006v7bf86
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Cody James Moser,0000-0002-5068-0740,"Harvard University; University of California, Merced; Harvard University Press",US; US; US,03vek6s52; 00d9ah105; 006v7bf86
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Mila Bertolo,0000-0002-3931-2293,Harvard University,US,03vek6s52
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Harry Lee-Rubin,,Harvard University,US,03vek6s52
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Dorsa Amir,0000-0003-0255-0228,Boston College,US,02n2fzt79
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Constance M. Bainbridge,0000-0003-3960-2845,"Harvard University; University of California, Los Angeles",US; US,03vek6s52; 046rm7j60
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Jan Simson,0000-0002-9406-7761,Harvard University; University of Amsterdam,US; NL,03vek6s52; 04dkp9463
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Dean Knox,,University of Pennsylvania,US,00b30xv10
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Luke Glowacki,,Boston University,US,05qwgg493
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Elias Alemu,,Jinka University,,05gt9yw23
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Andrzej Galbarczyk,0000-0002-7879-9735,Jagiellonian University,PL,03bqmcz70
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Grażyna Jasieńska,0000-0001-8716-6342,Jagiellonian University,PL,03bqmcz70
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Cody T. Ross,0000-0002-0067-4799,Max Planck Institute for Evolutionary Anthropology,DE,02a33b393
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Mary Beth Neff,0000-0002-9549-5936,University of Oslo; Victoria University of Wellington,NO; NZ,01xtthb56; 0040r6f76
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Alia Martin,0000-0003-4724-8217,Victoria University of Wellington,NZ,0040r6f76
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Laura K. Cirelli,0000-0002-1374-8558,University of Toronto; The Scarborough Hospital,CA; CA,03dbr7087; 04pzgb662
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Sandra E. Trehub,0000-0002-7940-1258,University of Toronto,CA,03dbr7087
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Jinqi Song,,"University of California, Los Angeles",US,046rm7j60
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Minju Kim,0000-0001-5878-7350,University of California San Diego,US,0168r3w48
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Adena Schachner,0000-0001-6886-7098,University of California San Diego,US,0168r3w48
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Tom Vardy,,University of Auckland,NZ,03b94tp07
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Quentin D. Atkinson,0000-0002-8499-7535,University of Auckland; Max Planck Institute for Evolutionary Anthropology,NZ; DE,03b94tp07; 02a33b393
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Amanda Salenius,0000-0002-1930-7374,Åbo Akademi University,FI,029pk6x14
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Jannik Andelin,,Åbo Akademi University,FI,029pk6x14
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Jan Antfolk,0000-0003-0334-4987,Åbo Akademi University,FI,029pk6x14
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Purnima Madhivanan,0000-0001-7818-3394,University of Arizona; Public Health Research Institute Of India,US; IN,03m2x1q45; 04pnmxh23
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Anand Siddaiah,0000-0002-6707-5635,Public Health Research Institute Of India,IN,04pnmxh23
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Caitlyn D. Placek,0000-0002-5315-5431,Ball State University,US,00k6tx165
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Gül Deniz Salalι,0000-0001-9538-3064,University College London,GB,02jx3x895
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Sarai Keestra,0000-0002-6368-0977,University College London; Amsterdam University of Applied Sciences; University of Amsterdam,GB; NL; NL,02jx3x895; 00y2z2s03; 04dkp9463
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Manvir Singh,0000-0002-6026-947X,Harvard University; Institute for Advanced Study in Toulouse,US; FR,03vek6s52; 03fg2km54
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Scott Collins,0000-0002-8117-164X,Arizona State University,US,03efmqc40
W4285726357,10.1038/s41562-022-01410-x,2022,middle,John Q. Patton,,"California State University, Fullerton",US,02avqqw26
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Camila Scaff,0000-0002-7546-9538,University of Zurich,CH,02crff812
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Jonathan Stieglitz,0000-0001-5985-9643,Université Fédérale de Toulouse Midi-Pyrénées; Institute for Advanced Study in Toulouse,FR; FR,004raaa70; 03fg2km54
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Silvia Ccari Cutipa,,Universidad Nacional del Altiplano,PE,03kqcyw85
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Cristina Moya,0000-0001-7100-9115,"Brunel University of London; University of California, Davis",GB; US,00dn4t376; 05rrcem69
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Rohan R. Sagar,,Future Generations University,US,05eygvb62
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Mariamu Anyawire,,,,
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Audax Mabulla,0000-0001-9591-5497,University of Dar es Salaam,TZ,0479aed98
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Brian M. Wood,0000-0002-8187-9429,"University of California, Los Angeles",US,046rm7j60
W4285726357,10.1038/s41562-022-01410-x,2022,middle,Max M. Krasnow,0000-0001-9216-9302,Harvard University,US,03vek6s52
W4285726357,10.1038/s41562-022-01410-x,2022,last,Samuel A. Mehr,0000-0002-9400-7718,Haskins Laboratories; Harvard University Press,US; US,003j5cv40; 006v7bf86
W4285732318,10.3390/app12147202,2022,first,Dominik Kisić,,University of Zagreb,HR,00mv6sv71
W4285732318,10.3390/app12147202,2022,middle,Marko Horvat,0000-0002-0402-5788,University of Zagreb,HR,00mv6sv71
W4285732318,10.3390/app12147202,2022,middle,Kristian Jambrošić,0000-0002-5680-4919,University of Zagreb,HR,00mv6sv71
W4285732318,10.3390/app12147202,2022,last,Petar Franček,,University of Zagreb,HR,00mv6sv71
W4285802512,10.1177/17470218221116610,2022,first,Carina Zöllner,,Ruhr University Bochum,DE,04tsk2644
W4285802512,10.1177/17470218221116610,2022,middle,Nicole Klein,,Ruhr University Bochum,DE,04tsk2644
W4285802512,10.1177/17470218221116610,2022,middle,Sen Cheng,0000-0002-6719-8029,Ruhr University Bochum,DE,04tsk2644
W4285802512,10.1177/17470218221116610,2022,middle,Ricarda I. Schubotz,0000-0001-5802-6869,University of Münster; Center for Behavioral Brain Sciences,DE; DE,00pd74e08; 03d1zwe41
W4285802512,10.1177/17470218221116610,2022,middle,Nikolai Axmacher,0000-0002-0475-6492,Ruhr University Bochum,DE,04tsk2644
W4285802512,10.1177/17470218221116610,2022,last,Oliver T. Wolf,0000-0002-9320-2124,Ruhr University Bochum,DE,04tsk2644
W4286009745,10.1101/2022.07.18.500552,2022,first,Lydia Barnes,0000-0002-1101-0699,MRC Cognition and Brain Sciences Unit; University of Cambridge,GB; GB,055bpw879; 013meh722
W4286009745,10.1101/2022.07.18.500552,2022,middle,Dragan Rangelov,0000-0001-7648-6447,The University of Queensland,AU,00rqy9422
W4286009745,10.1101/2022.07.18.500552,2022,middle,Jason B. Mattingley,0000-0003-0929-9216,The University of Queensland,AU,00rqy9422
W4286009745,10.1101/2022.07.18.500552,2022,last,Alexandra Woolgar,0000-0002-8453-7424,MRC Cognition and Brain Sciences Unit; University of Cambridge,GB; GB,055bpw879; 013meh722
W4286259260,10.1121/10.0012884,2022,first,Christopher C. Heffner,0000-0002-5753-4543,University of Connecticut,US,02der9h97
W4286259260,10.1121/10.0012884,2022,middle,Emily B. Myers,0000-0002-9475-764X,University of Connecticut,US,02der9h97
W4286259260,10.1121/10.0012884,2022,last,Vincent L. Gracco,0000-0003-2246-3551,Haskins Laboratories,US,003j5cv40
W4286383139,10.31234/osf.io/umy6f,2022,first,Björn Herrmann,0000-0001-6362-3043,University of Toronto; Baycrest Hospital; Rotman Research Institute,CA; CA; CA,03dbr7087; 03gp5b411; 01kvpec59
W4286447798,10.31234/osf.io/kpwh4,2022,first,Jason Zhou,0000-0003-4229-6009,The University of Melbourne,AU,01ej9dk98
W4286447798,10.31234/osf.io/kpwh4,2022,middle,Adam F Osth,0000-0001-5429-089X,The University of Melbourne,AU,01ej9dk98
W4286447798,10.31234/osf.io/kpwh4,2022,last,Philip L. Smith,0000-0002-2381-9372,The University of Melbourne,AU,01ej9dk98
W4286488873,10.3389/fnbeh.2022.946263,2022,first,Simone Battaglia,0000-0003-4133-654X,University of Turin; University of Bologna,IT; IT,048tbm396; 01111rn36
W4286488873,10.3389/fnbeh.2022.946263,2022,middle,Pasquale Cardellicchio,0000-0003-4628-7177,Italian Institute of Technology; Center for Translational Neurophysiology of Speech and Communication,IT; IT,042t93s57; 02nzxcb82
W4286488873,10.3389/fnbeh.2022.946263,2022,middle,Chiara Di Fazio,0000-0002-8684-6714,University of Bologna,IT,01111rn36
W4286488873,10.3389/fnbeh.2022.946263,2022,middle,Claudio Nazzi,0000-0003-2663-1057,University of Bologna,IT,01111rn36
W4286488873,10.3389/fnbeh.2022.946263,2022,middle,Alessio Fracasso,0000-0002-4542-112X,University of Glasgow,GB,00vtgdb53
W4286488873,10.3389/fnbeh.2022.946263,2022,last,Sara Borgomaneri,0000-0003-4959-6442,Fondazione Santa Lucia; Istituti di Ricovero e Cura a Carattere Scientifico; University of Bologna,IT; IT; IT,05rcxtd95; 04tfzc498; 01111rn36
W4286489337,10.1080/13506285.2022.2089418,2022,first,Melissa A. Schoenlein,0000-0003-1763-4547,University of Wisconsin–Madison; Wisconsin Institutes for Discovery,US; US,01y2jtd41; 05gbven85
W4286489337,10.1080/13506285.2022.2089418,2022,last,Karen B. Schloss,0000-0003-4833-4117,University of Wisconsin–Madison; Wisconsin Institutes for Discovery,US; US,01y2jtd41; 05gbven85
W4286496572,10.1038/s41467-022-31727-0,2022,first,Kobe Desender,0000-0002-5462-4260,Universität Hamburg; Ghent University; University Medical Center Hamburg-Eppendorf; VIB-KU Leuven Center for Brain & Disease Research,DE; BE; DE; BE,00g30e956; 00cv9y106; 01zgy1s35; 045c7t348
W4286496572,10.1038/s41467-022-31727-0,2022,middle,Luc Vermeylen,0000-0001-7370-7152,Ghent University,BE,00cv9y106
W4286496572,10.1038/s41467-022-31727-0,2022,last,Tom Verguts,0000-0002-7783-4754,Ghent University,BE,00cv9y106
W4286497132,10.31234/osf.io/f46m7,2022,first,Andrea Schiavio,0000-0001-8109-9185,University of Graz,AT,01faaaf77
W4286497132,10.31234/osf.io/f46m7,2022,middle,Tudor Popescu,0000-0001-5890-1520,University of Vienna; University of Trento; Complexity Science Hub,AT; IT; AT,03prydq77; 05trd4x28; 023dz9m50
W4286497132,10.31234/osf.io/f46m7,2022,middle,Adrian Kempf,0000-0002-0428-3090,University of Graz,AT,01faaaf77
W4286497132,10.31234/osf.io/f46m7,2022,last,Renee Timmers,0000-0002-1981-0834,University of Sheffield,GB,05krs5044
W4286860845,10.1017/s1930297500008512,2021,first,Xiaozhi Yang,0000-0002-9134-8752,The Ohio State University,US,00rs6vg23
W4286860845,10.1017/s1930297500008512,2021,last,Ian Krajbich,0000-0001-6618-5675,The Ohio State University,US,00rs6vg23
W4286879916,10.1017/s1930297500008500,2021,first,Joshua Hascher,0000-0002-8283-8338,The Ohio State University,US,00rs6vg23
W4286879916,10.1017/s1930297500008500,2021,middle,Nitisha Desai,0000-0002-4595-8963,The Ohio State University,US,00rs6vg23
W4286879916,10.1017/s1930297500008500,2021,last,Ian Krajbich,0000-0001-6618-5675,The Ohio State University,US,00rs6vg23
W4287027282,10.48550/arxiv.2108.03685,2021,first,Kushin Mukherjee,0000-0001-5013-6983,,,
W4287027282,10.48550/arxiv.2108.03685,2021,middle,Brian Yin,,,,
W4287027282,10.48550/arxiv.2108.03685,2021,middle,Brianne E. Sherman,,,,
W4287027282,10.48550/arxiv.2108.03685,2021,middle,Laurent Lessard,0000-0001-5389-9361,,,
W4287027282,10.48550/arxiv.2108.03685,2021,last,Karen B. Schloss,0000-0003-4833-4117,,,
W4287446920,10.1016/j.cogpsych.2022.101491,2022,first,Thomas E. Gorman,0000-0001-5366-5442,Indiana University Bloomington,US,02k40bc56
W4287446920,10.1016/j.cogpsych.2022.101491,2022,last,Robert L. Goldstone,0000-0001-8357-8358,Indiana University Bloomington,US,02k40bc56
W4287666924,10.48550/arxiv.2009.07391,2020,first,Haley Lepp,,,,
W4287666924,10.48550/arxiv.2009.07391,2020,last,Gina‐Anne Levow,,,,
W4287845125,10.1016/j.neuroimage.2022.119517,2022,first,Sophia M. Shatek,0000-0002-7787-1379,University of Sydney,AU,0384j8v12
W4287845125,10.1016/j.neuroimage.2022.119517,2022,middle,Amanda K. Robinson,0000-0002-7378-2803,University of Sydney; University of Queensland,AU; AU,0384j8v12; 00rqy9422
W4287845125,10.1016/j.neuroimage.2022.119517,2022,middle,Tijl Grootswagers,0000-0002-7961-5002,Western Sydney University,AU,03t52dk35
W4287845125,10.1016/j.neuroimage.2022.119517,2022,last,Thomas A. Carlson,0000-0002-3953-4195,University of Sydney,AU,0384j8v12
W4288035034,10.31234/osf.io/4wfds,2022,first,Ariana Modirrousta-Galian,0000-0003-2925-2976,University of Southampton,GB,01ryk1543
W4288035034,10.31234/osf.io/4wfds,2022,middle,Philip A. Higham,0000-0001-6087-7224,University of Southampton,GB,01ryk1543
W4288035034,10.31234/osf.io/4wfds,2022,last,Tina Seabrooke,0000-0002-4119-8389,University of Southampton,GB,01ryk1543
W4288046860,10.1098/rsos.210550,2022,first,Carolin Dudschig,0000-0002-7041-7798,University of Tübingen,DE,03a1kwz48
W4288758397,10.1038/s41598-022-16983-w,2022,first,Carmen Saldana,0000-0002-2518-2176,University of Zurich,CH,02crff812
W4288758397,10.1038/s41598-022-16983-w,2022,middle,Nicolas Claidière,0000-0002-4472-6597,Centre National de la Recherche Scientifique; Aix-Marseille Université,FR; FR,02feahw73; 035xkbk20
W4288758397,10.1038/s41598-022-16983-w,2022,middle,Joël Fagot,0000-0002-9824-9685,Centre National de la Recherche Scientifique; Aix-Marseille Université,FR; FR,02feahw73; 035xkbk20
W4288758397,10.1038/s41598-022-16983-w,2022,last,Kenny Smith,0000-0002-4530-6914,University of Edinburgh,GB,01nrxwf90
W4289102285,10.12807/ti.114202.2022.a02,2022,first,Ricardo Muñoz Martín,0000-0001-6049-9673,University of Bologna,IT,01111rn36
W4289102285,10.12807/ti.114202.2022.a02,2022,last,Matthias Apfelthaler,0000-0001-8355-2262,University of Graz,AT,01faaaf77
W4289176997,10.3390/languages7030197,2022,first,Anastasia Kobzeva,0000-0001-7810-4959,Norwegian University of Science and Technology,NO,05xg72x27
W4289176997,10.3390/languages7030197,2022,middle,Charlotte Sant,,UiT The Arctic University of Norway,NO,00wge5k78
W4289176997,10.3390/languages7030197,2022,middle,Parker T. Robbins,0000-0003-0937-233X,University of Toronto,CA,03dbr7087
W4289176997,10.3390/languages7030197,2022,middle,Myrte Vos,0000-0003-3896-2742,UiT The Arctic University of Norway,NO,00wge5k78
W4289176997,10.3390/languages7030197,2022,middle,Terje Lohndal,0000-0002-8514-1499,Norwegian University of Science and Technology; UiT The Arctic University of Norway,NO; NO,05xg72x27; 00wge5k78
W4289176997,10.3390/languages7030197,2022,last,Dave Kush,0000-0002-2567-6440,University of Toronto; Norwegian University of Science and Technology,CA; NO,03dbr7087; 05xg72x27
W4289277884,10.31234/osf.io/8z5kr,2022,first,Roel van Dooren,0000-0003-1418-4253,Leiden University,NL,027bh9e22
W4289277884,10.31234/osf.io/8z5kr,2022,middle,Bryant J. Jongkees,0000-0002-7333-0137,Leiden University,NL,027bh9e22
W4289277884,10.31234/osf.io/8z5kr,2022,last,Roberta Sellaro,0000-0003-2316-9936,University of Padua,IT,00240q980
W4289526983,10.1121/10.0013363,2022,first,Julius Krumbiegel,0000-0002-8409-5590,Universität Hamburg; University Medical Center Hamburg-Eppendorf,DE; DE,00g30e956; 01zgy1s35
W4289526983,10.1121/10.0013363,2022,middle,Carina Ufer,0000-0002-3764-2061,Universität Hamburg; University Medical Center Hamburg-Eppendorf,DE; DE,00g30e956; 01zgy1s35
W4289526983,10.1121/10.0013363,2022,last,Helen Blank,0000-0002-5824-0811,Universität Hamburg; University Medical Center Hamburg-Eppendorf,DE; DE,00g30e956; 01zgy1s35
W4289714572,10.31234/osf.io/rj93m,2022,first,Lorijn Zaadnoordijk,0000-0002-7484-6995,Trinity College Dublin,IE,02tyrky19
W4289714572,10.31234/osf.io/rj93m,2022,last,Rhodri Cusack,0000-0002-5234-7415,Trinity College Dublin,IE,02tyrky19
W4289766339,10.1016/j.jml.2022.104354,2022,first,Xuemei Chen,0000-0003-0798-8616,South China Normal University,CN,01kq0pv72
W4289766339,10.1016/j.jml.2022.104354,2022,middle,Robert J. Hartsuiker,0000-0002-3680-6765,Ghent University,BE,00cv9y106
W4289766339,10.1016/j.jml.2022.104354,2022,middle,Merel Muylle,0000-0002-0107-8681,Institut Universitaire de Gériatrie de Montréal; Université de Montréal,CA; CA,031z68d90; 0161xgx34
W4289766339,10.1016/j.jml.2022.104354,2022,middle,Mieke Sarah Slim,0000-0002-7494-2792,Ghent University,BE,00cv9y106
W4289766339,10.1016/j.jml.2022.104354,2022,last,Chi Zhang,0000-0003-4310-7417,Nanjing Normal University,CN,036trcv74
W4289767069,10.31234/osf.io/7dhz3,2022,first,Julian Fox,0000-0002-0530-7998,The University of Melbourne,AU,01ej9dk98
W4289767069,10.31234/osf.io/7dhz3,2022,last,Adam F Osth,0000-0001-5429-089X,The University of Melbourne,AU,01ej9dk98
W4289861411,10.3390/vision6030048,2022,first,Giulio Contemori,0000-0002-1873-1472,University of Padua,IT,00240q980
W4289861411,10.3390/vision6030048,2022,middle,Maria Silvia Saccani,0000-0002-5808-1398,University of Padua,IT,00240q980
W4289861411,10.3390/vision6030048,2022,last,Mario Bonato,0000-0002-2004-9341,University of Padua,IT,00240q980
W4289890370,10.1016/j.cognition.2022.105232,2022,first,Victor Mittelstädt,0000-0002-1529-0114,University of Tübingen,DE,03a1kwz48
W4289890370,10.1016/j.cognition.2022.105232,2022,middle,Jeff Miller,0000-0003-2718-3153,University of Otago,NZ,01jmxt844
W4289890370,10.1016/j.cognition.2022.105232,2022,last,Andrea Kiesel,0000-0001-5564-010X,University of Freiburg,DE,0245cg223
W4289933124,10.1186/s41235-022-00424-3,2022,first,Svetlana Pinet,0000-0002-8532-9950,"Ikerbasque; Basque Center on Cognition, Brain and Language",ES; ES,01cc3fy72; 01a28zg77
W4289933124,10.1186/s41235-022-00424-3,2022,middle,Christelle Zielinski,,,,
W4289933124,10.1186/s41235-022-00424-3,2022,middle,F.‐Xavier Alario,0000-0002-8627-5034,Centre National de la Recherche Scientifique; Aix-Marseille Université,FR; FR,02feahw73; 035xkbk20
W4289933124,10.1186/s41235-022-00424-3,2022,last,Marieke Longcamp,0000-0003-0454-2934,Centre National de la Recherche Scientifique; Aix-Marseille Université,FR; FR,02feahw73; 035xkbk20
W4289938186,10.1080/02699931.2022.2109600,2022,first,Isla D. Weber,,Princeton University,US,00hx57361
W4289938186,10.1080/02699931.2022.2109600,2022,middle,Sam Zorowitz,,Princeton University,US,00hx57361
W4289938186,10.1080/02699931.2022.2109600,2022,middle,Yael Niv,0000-0002-0259-8371,Princeton University,US,00hx57361
W4289938186,10.1080/02699931.2022.2109600,2022,last,Daniel Bennett,0000-0001-6608-9026,Australian Regenerative Medicine Institute; Monash University,AU; AU,02qa5kg76; 02bfwt286
W4290804231,10.1037/xhp0001034,2022,first,Lu-Chun Yeh,0000-0002-8265-8978,Radboud University Nijmegen; National Taiwan University,NL; TW,016xsfp80; 05bqach95
W4290804231,10.1037/xhp0001034,2022,last,Marius V. Peelen,0000-0002-4026-7303,Radboud University Nijmegen,NL,016xsfp80
W4290804254,10.1037/xge0001281,2022,first,Colin J. Palmer,0000-0002-1058-3428,UNSW Sydney,AU,03r8z3t63
W4290804254,10.1037/xge0001281,2022,middle,Peter Kim,0000-0002-1492-4744,UNSW Sydney,AU,03r8z3t63
W4290804254,10.1037/xge0001281,2022,last,Colin W. G. Clifford,0000-0003-1043-6118,UNSW Sydney,AU,03r8z3t63
W4290987990,10.31234/osf.io/zfeuw,2022,first,Aaron Veldre,0000-0002-0364-8502,The University of Sydney; Macquarie University,AU; AU,0384j8v12; 01sf06y89
W4290987990,10.31234/osf.io/zfeuw,2022,middle,Erik D. Reichle,0000-0003-3754-7619,Macquarie University,AU,01sf06y89
W4290987990,10.31234/osf.io/zfeuw,2022,middle,Lili Yu,0000-0002-9198-3297,Macquarie University,AU,01sf06y89
W4290987990,10.31234/osf.io/zfeuw,2022,last,Sally Andrews,0000-0002-5453-4628,The University of Sydney,AU,0384j8v12
W4290989805,10.31234/osf.io/rtyfm,2022,first,Henryk Bukowski,0000-0001-9412-1855,UCLouvain,BE,02495e989
W4290989805,10.31234/osf.io/rtyfm,2022,middle,Alix Bigot,0000-0002-7841-7653,UCLouvain,BE,02495e989
W4290989805,10.31234/osf.io/rtyfm,2022,last,Dana Samson,0000-0001-7428-0031,UCLouvain,BE,02495e989
W4291396204,10.1016/j.cognition.2022.105250,2022,first,Katharina A. Schwarz,0000-0001-8714-790X,University of Würzburg,DE,00fbnyb24
W4291396204,10.1016/j.cognition.2022.105250,2022,middle,Annika L. Klaffehn,0000-0003-1190-5043,University of Würzburg,DE,00fbnyb24
W4291396204,10.1016/j.cognition.2022.105250,2022,middle,Nicole Hauke,0000-0002-4923-5105,Friedrich-Alexander-Universität Erlangen-Nürnberg,DE,00f7hpc57
W4291396204,10.1016/j.cognition.2022.105250,2022,middle,Felicitas V. Muth,,University of Würzburg,DE,00fbnyb24
W4291396204,10.1016/j.cognition.2022.105250,2022,last,Roland Pfister,0000-0002-4429-1052,University of Würzburg,DE,00fbnyb24
W4291776778,10.3390/ijerph191610010,2022,first,Gerrit Brandt,0000-0002-4895-1599,Ruhr University Bochum,DE,04tsk2644
W4291776778,10.3390/ijerph191610010,2022,middle,Jule Stobrawe,,German Medical Association,DE,01bx1ra43
